sample_index,xi_norm2,radius_percentile,occurrence_likelihood,likelihood_rank,opacity_weight,log10_opacity_weight,compliance,compliance_percentile,compliance_z,is_tail_95
72,3.1308831797e+01,2.6753552177e-01,7.3246447823e-01,33,1.5876962808e-03,-2.7992325726e+00,1.5378490539e-01,3.1000000000e-01,-5.6326306130e-01,0
73,2.3673204092e+01,4.3851160421e-02,9.5614883958e-01,8,7.2247515447e-02,-1.1411770835e+00,1.6294539597e-01,7.5000000000e-01,6.0759099409e-01,0
74,3.0584548527e+01,2.3728089331e-01,7.6271910669e-01,27,2.2805707043e-03,-2.6419564588e+00,1.5711847100e-01,5.2000000000e-01,-1.3718120692e-01,0
75,3.5550844039e+01,4.6300707582e-01,5.3699292418e-01,55,1.9038212630e-04,-3.7203738270e+00,1.5434919311e-01,3.6000000000e-01,-4.9113825973e-01,0
76,3.2470364882e+01,3.1870907967e-01,6.8129092033e-01,41,8.8826739832e-04,-3.0514562773e+00,1.5208251215e-01,2.3000000000e-01,-7.8085555938e-01,0
77,3.3466976390e+01,3.6454740850e-01,6.3545259150e-01,44,5.3967497929e-04,-3.2678677165e+00,1.5465362107e-01,3.9000000000e-01,-4.5222760223e-01,0
78,2.5820053210e+01,8.3764091286e-02,9.1623590871e-01,13,2.4696792553e-02,-1.6073594462e+00,1.5280992846e-01,2.8000000000e-01,-6.8788037109e-01,0
79,3.0841845693e+01,2.4786310462e-01,7.5213689538e-01,29,2.0052668373e-03,-2.6978278284e+00,1.6288119161e-01,7.4000000000e-01,5.9938467210e-01,0
80,3.9485475488e+01,6.4053059796e-01,3.5946940204e-01,73,2.6621456311e-05,-4.5747681904e+00,1.4604289399e-01,5.0000000000e-02,-1.5528132787e+00,0
81,3.4631347238e+01,4.1939564305e-01,5.8060435695e-01,50,3.0150350581e-04,-3.5207076336e+00,1.5239584379e-01,2.5000000000e-01,-7.4080687223e-01,0
82,3.5966147491e+01,4.8263421770e-01,5.1736578230e-01,57,1.5468356558e-04,-3.8105558256e+00,1.5920542461e-01,5.4000000000e-01,1.2956412471e-01,0
83,4.4895898867e+01,8.2535961355e-01,1.7464038645e-01,90,1.7798085982e-06,-5.7496266995e+00,1.4518699606e-01,4.0000000000e-02,-1.6622104287e+00,0
84,4.8218925389e+01,8.9750845973e-01,1.0249154027e-01,92,3.3789927479e-07,-6.4712127403e+00,1.5974142377e-01,5.7000000000e-01,1.9807320561e-01,0
85,3.1871630519e+01,2.9196800922e-01,7.0803199078e-01,37,1.1982770392e-03,-2.9214427623e+00,1.5040036195e-01,1.5000000000e-01,-9.9586068015e-01,0
