phase1 chain armed 2026-07-29 13:18:19; waiting for gap study + probe to finish
machine free at 2026-07-29 22:05:16; starting Phase 1 on 128 ranks
########## E1FIELD :: 2026-07-29 22:05:16 ##########
WARNING:src.config.loader:optimization.lambda_sweep has only 3 points. That is enough to compare designs but too few to present as a Pareto front.
INFO:src.meshing.box_source:Traction patch: half-width 0.9375 (auto max(0.5, 1.5h)), area 1.5625, traction_z -0.2048 (total force 0.32 held fixed across refinement levels)
INFO:src.meshing.box_source:Built box-mesh fenitop dicts (beam_3d.py reference): cell_type=tetrahedron, domain=[[0, 0, 0], [10, 30, 10]], refinement=0.64 -> elements=[16, 48, 16], h=0.625, R=0.6 (R/h=0.96, FIXED across levels), E=100, nu=0.25, vol_frac=0.08
WARNING:src.fenitop.topopt:No 'solid' cell_tags/solid_tag found in fem dict -- bolt/mount regions will NOT be hard-pinned to solid density. This mirrors the exact bug that caused bolt bosses to be optimized away; check fenitop_adapter.py wires cell_tags + solid_tag through.
INFO:src.topology.heaviside_projection_glue:RandomFieldHeaviside ready: N_kl=37, variance_explained=0.9510, n_local_dofs=118 matched to global KL nodes
INFO:src.random_fields.threshold_transform:Initialized threshold marginal transform: eta in [0.250, 0.750], Beta(alpha=2.00, beta=2.00)
INFO:src.topology.heaviside_projection_glue:RandomFieldHeaviside ready: N_kl=37, variance_explained=0.9510, n_local_dofs=1725 matched to global KL nodes
INFO:src.optimization.dolfiny_mma_driver:Sample-parallelism enabled: 16 group(s) x 8 rank(s); each PCE/MC sample batch is split across groups and solved concurrently.
WARNING:src.provenance:2 config value(s) are OVERRIDDEN in code and did not affect this run as written in config.yaml: filter_radius, vol_frac. The effective values are recorded in the manifest; cite those, not the YAML.
INFO:src.sampling.sampler:Generated 512 'monte_carlo' samples in 37-dimensional KL coefficient space (seed=7)
INFO:__main__:=== arm=field: n_kl=37, N=512, lambda=4 ===
INFO:src.optimization.saa_robust_driver:SAA lambda=4: beta continuation over 5 stage(s) [8.0, 16.0, 32.0, 64.0, 128.0] with iteration budgets [30, 30, 30, 30, 30] (total 150)
INFO:src.optimization.saa_robust_driver:SAA lambda=4 stage 1/5: beta=8, max_iter=30, move=0.02
INFO:src.surrogate.fea_at_samples:eta=0.050 proj=0.003 solve=2.342 sens=0.023
INFO:src.surrogate.fea_at_samples:eta=0.050 proj=0.017 solve=1.712 sens=0.026
INFO:src.surrogate.fea_at_samples:eta=0.026 proj=0.026 solve=1.956 sens=0.031
INFO:src.surrogate.fea_at_samples:FEA-at-samples: completed 32/32 solves (77.77s for last batch)
INFO:src.optimization.saa_robust_driver:[SAA] outer_iter=1: mu_C=0.366913 sigma_C=0.226755 E[V]=0.077509 J=1.27393 (fea_batches=1)
INFO:src.fenitop.mma:[MMA diag] it=1 raw objective f=1.273935e+00, |grad|=3.2430e-01, max|grad|=2.6917e-03
INFO:src.optimization.saa_robust_driver:constraint check: vol_frac=0.08 E[V]=0.077509 h_value=0.00249097
INFO:src.fenitop.mma:[MMA opt] it=1 stat_rel=0.4774 (abs=0.008354) feas=0 comp=0 dx=nan [|grad f|=0.3243, diagnostic only]
INFO:src.surrogate.fea_at_samples:eta=0.025 proj=0.030 solve=1.774 sens=0.029
INFO:src.surrogate.fea_at_samples:eta=0.038 proj=0.008 solve=2.246 sens=0.035
INFO:src.surrogate.fea_at_samples:eta=0.026 proj=0.022 solve=1.774 sens=0.023
INFO:src.surrogate.fea_at_samples:FEA-at-samples: completed 32/32 solves (78.10s for last batch)
INFO:src.optimization.saa_robust_driver:[SAA] outer_iter=2: mu_C=0.335948 sigma_C=0.190851 E[V]=0.0799796 J=1.09935 (fea_batches=2)
INFO:src.fenitop.mma:[MMA diag] it=2 raw objective f=1.099353e+00, |grad|=2.6141e-01, max|grad|=2.1875e-03
INFO:src.optimization.saa_robust_driver:constraint check: vol_frac=0.08 E[V]=0.0799796 h_value=2.04321e-05
